Title,Status,Genres,Updated,View,Rating
How To Hide The Emperor's Child,Ongoing,"Drama, Fantasy, Historical, Josei, Romance","Feb 21,2024 - 00:10 AM",23.7M,
Talent-Swallowing Magician,Ongoing,"Action, Drama, Fantasy, Shounen, Webtoons, Manhwa","Feb 21,2024 - 00:10 AM",55M,
The Cook Of A Perished World,Ongoing,"Action, Adventure, Fantasy, Manhwa","Feb 20,2024 - 23:45 PM",824.3K,
"Vengeful Weapon, Tears Of Poison",Ongoing,"Drama, Fantasy, Mature, Romance, Webtoons","Feb 20,2024 - 23:44 PM",100.8K,
Blue Lock,Ongoing,"Action, Drama, Shounen, Sports","Feb 20,2024 - 23:42 PM",104.3M,
The Heat Of The Reincarnated Villainess,Ongoing,"Drama, Fantasy, Historical, Josei, Mature, Romance, Smut, Isekai","Feb 20,2024 - 23:41 PM",9.1M,
The Max-Level Player’S 100Th Regression,Ongoing,"Action, Adventure, Drama, Fantasy, Supernatural, Manhwa","Feb 20,2024 - 23:39 PM",1.8M,
Gochuumon Wa Usagi Desu Ka?,Ongoing,"Comedy, Seinen, Slice of life","Feb 20,2024 - 23:35 PM",1.5M,
Quoth The Boy,Ongoing,"Comedy, Romance, School life","Feb 20,2024 - 23:22 PM",20.1K,
Ghostly Vendetta,Ongoing,"Drama, Mature, Mystery, Smut, Webtoons, Yaoi","Feb 20,2024 - 23:21 PM",1.1M,
